Intent,Question Pattern,Response
fir_filing,How do I file an FIR?,To file an FIR visit your nearest police station with valid ID proof and relevant documents
emergency,What are emergency numbers?,Police: 100 | Ambulance: 108 | Women Helpline: 1091 | Child Helpline: 1098
cybercrime,How to report cybercrime?,You can report cybercrimes at cybercrime.gov.in or call 1930
verification,How to get police verification?,Submit application at local police station with address proof and ID proof
lost_property,How to report lost property?,File a written complaint at nearest police station with your ID proof
fir_copy,How to get FIR copy?,Visit the police station where FIR was filed with your FIR number and ID proof
passport,Police verification for passport?,Police verification is done automatically after passport application
missing_person,How to report a missing person?,Visit nearest police station with recent photo and details of the missing person
traffic,How to report traffic violation?,Call 103 for traffic police or use state police app to report violations
assault,How to file assault complaint?,Visit nearest police station immediately and provide incident details
legal_info,What is Section 420?,Section 420 IPC deals with cheating and fraud cases with punishment up to 7 years

report_child_abuse,How can I report child abuse?,"You can report child abuse by calling Childline at 1098, visiting a police station, or contacting a child protection agency."
child_abuse_helpline,What is the helpline number for child abuse?,The Childline 1098 helpline provides assistance for reporting and preventing child abuse.
legal_protection_children,What legal protection is available for children facing abuse?,"Laws like POCSO Act, Juvenile Justice Act, and IPC sections provide protection and legal recourse."
file_fir_child_abuse,Can an FIR be filed for child abuse?,"Yes, an FIR can be filed at the nearest police station under relevant child protection laws."
child_abuse_evidence,What evidence is needed to report child abuse?,"Medical reports, photographs, witness statements, and school records can be used as evidence."
signs_of_child_abuse,What are the signs of child abuse?,"Signs include unexplained injuries, fearfulness, withdrawal, aggressive behavior, and sudden changes in behavior."
child_abuse_types,What are the types of child abuse?,"Child abuse can be physical, emotional, sexual, or neglect-related."
school_responsibility_abuse,What should schools do if they suspect child abuse?,Schools must report suspected abuse to child protection services and ensure the child's safety.
counseling_for_abused_children,Are there counseling services for abused children?,"Yes, many NGOs and government agencies offer free counseling and rehabilitation services."
child_safety_measures,How can we ensure child safety at home?,"Supervise interactions, educate about safe and unsafe touch, and maintain open communication."
anonymous_child_abuse_reporting,Can I report child abuse anonymously?,"Yes, you can report anonymously through helplines or online complaint portals."
rights_of_abused_children,What rights do abused children have?,"Children have the right to protection, education, health, and legal assistance under various laws."
juvenile_justice_system,How does the Juvenile Justice System help abused children?,"The system ensures legal protection, rehabilitation, and reintegration of abused children."
police_response_time_child_abuse,How quickly do police respond to child abuse cases?,Police are required to respond immediately to ensure child safety and start legal action.
free_legal_aid_childrenW,here can abused children get free legal aid?,Legal aid is available through the National Legal Services Authority (NALSA) and child welfare committees.
pocso_act,What is the POCSO Act?,The Protection of Children from Sexual Offences (POCSO) Act provides strict legal protection for child victims.
child_exploitation,What constitutes child exploitation?,"Child exploitation includes forced labor, trafficking, abuse, and using children for illegal activities."
medical_assistance_abused_children,How can abused children get medical help?,Government hospitals provide free medical care and document injuries for legal proceedings.
psychological_abuse_children,Is emotional abuse considered child abuse?,"Yes, emotional abuse like constant criticism, threats, and rejection is considered child abuse."
child_neglect,What is child neglect?,"Child neglect is failing to provide basic needs like food, shelter, education, and medical care."
child_shelters,Where can abused children find shelter?,Abused children can be placed in government or NGO-run child care institutions and foster homes.
child_abuse_prevention,How can we prevent child abuse?,"Awareness, parental education, school programs, and strict law enforcement help prevent child abuse."
digital_child_abuse,Can online threats be considered child abuse?,"Yes, cyberbullying, online grooming, and exploitation fall under digital child abuse."
teachers_reporting_abuse,Are teachers required to report child abuse?,"Yes, teachers are mandatory reporters and must inform authorities if they suspect abuse."
child_abduction,What should be done in case of child abduction?,"Immediately report to the police and child helpline, providing all relevant details."
parental_rights_abuse_cases,Can abusive parents lose custody?,"Yes, courts can remove parental rights in cases of severe abuse or neglect."
court_protection_child,Can courts provide special protection for child victims?,"Yes, courts can arrange in-camera trials and special child-friendly procedures for abuse cases."
public_awareness_campaigns_child,Are there awareness programs on child abuse?,"Yes, NGOs and government bodies conduct awareness campaigns to educate people about child protection laws."
child_labour,Is child labor considered child abuse?,"Yes, child labor is illegal and considered a form of exploitation and abuse."
support_for_child_trafficking_victims,What help is available for child trafficking victims?,"Rescue operations, rehabilitation centers, and legal aid are provided for trafficking victims."
special_courts_pocso,Are there special courts for child abuse cases?,"Yes, special POCSO courts handle child sexual abuse cases to ensure speedy justice."
